transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region
25015,25,2013-11-27 09:04:07,2013-11-27 09:33:19,CRB,Atlantic,St. Eustatius,bq,-4,St. Eustatius,Non-Reef,Lesser Antilles,Great Caribbean
25016,25,2013-11-27 10:21:30,2013-11-27 11:11:28,CRB,Atlantic,St. Eustatius,bq,-4,St. Eustatius,Non-Reef,Lesser Antilles,Great Caribbean
25017,25,2013-11-27 14:01:38,2013-11-27 14:38:47,CRB,Atlantic,St. Eustatius,bq,-4,St. Eustatius,Non-Reef,Lesser Antilles,Great Caribbean
